No.,식품명,제조사,조사년도,식품분류,식품군,식품코드,자료원,1회제공량,에너지(Kcal),단백질,지질,탄수화물,총당류,나트륨,콜레스테롤,총 포화 지방산,트랜스 지방산
14739,고기 손만두,굿푸드,2017,가공식품,즉석식품류,P15541,식약처(가공식품)NFPF,150g,415.5,22.05,12.9,52.95,5.66,702,12,-,0
14740,고기손만두,롯데쇼핑㈜,2017,가공식품,즉석식품류,P15542,식약처(가공식품)NFPF,150g,495,19.5,15,69,5.66,1215,5.85,-,0.15
14741,고소한 참치마요 김밥,청탑,2017,가공식품,즉석식품류,P15543,식약처(가공식품)NFPF,100g,156.23,3.68,3.68,27.1,0,375.83,3.05,-,0
14742,고추잡채 왕만두,㈜이마트,2017,가공식품,즉석식품류,P15544,식약처(가공식품)NFPF,150g,466.07,14.46,14.46,69.11,11.25,851.79,16.07,-,0
14743,고추잡채 군만두,풀무원,2017,가공식품,즉석식품류,P15545,식약처(가공식품)NFPF,150g,457.5,12,22.5,52.5,2.84,750,15,-,0
14744,고향만두 사랑그대로 샤오롱,해태제과,2017,가공식품,즉석식품류,P15546,식약처(가공식품)NFPF,150g,500,22.5,22.5,53.75,6.75,1125,18.75,-,0
14745,골드브라운 3분 하이스,오뚜기,2017,가공식품,즉석식품류,P15547,식약처(가공식품)NFPF,200g,280,14,10,34,65.64,1600,20,-,0
14746,골드브라운 햄버그 스테이크,오뚜기,2017,가공식품,즉석식품류,P15548,식약처(가공식품)NFPF,160g,408,30.4,16,35.2,18.29,928,64,-,0
14747,교자만두,굿푸드,2017,가공식품,즉석식품류,P15550,식약처(가공식품)NFPF,150g,435,18.6,14.7,57,6.75,1038,11.25,-,0
14748,교자만두,오뚜기,2017,가공식품,즉석식품류,P15551,식약처(가공식품)NFPF,150g,558.62,20.17,27.93,57.41,6.75,620.69,23.28,-,0
14749,김나운의 더키친 전복죽,올박스홀딩스,2017,가공식품,즉석식품류,P15555,식약처(가공식품)NFPF,300g,495,24,8.7,78,2.44,2190,120,0,0
14750,김용의 모란각 속찬만두,엄지식품,2017,가공식품,즉석식품류,P15556,식약처(가공식품)NFPF,150g,472.5,19.5,21,51,6.6,675,7.35,-,0.3
14751,김치 손만두,굿푸드,2017,가공식품,즉석식품류,P15557,식약처(가공식품)NFPF,150g,396,18.45,10.35,57.3,12.9,739.5,7.2,-,0
14752,김치 손만두,롯데쇼핑㈜,2017,가공식품,즉석식품류,P15558,식약처(가공식품)NFPF,150g,405,13.5,12,61.5,2.25,420,4.05,-,0
14753,납작군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15568,식약처(가공식품)NFPF,150g,405,13.5,18,47.92,2.84,614.92,14.85,-,0
14754,노릇노릇 고소함이 가득 바삭바삭 군만두,홈플러스㈜,2017,가공식품,즉석식품류,P15569,식약처(가공식품)NFPF,150g,472.5,21,16.5,60,2.84,1215,0,-,0.15
14755,뉴 숯불갈비맛 삼각김밥,비에스시스템,2017,가공식품,즉석식품류,P15570,식약처(가공식품)NFPF,100g,161.87,3.94,2.16,31.67,9.87,297.06,1.92,-,0.01
14756,뉴 참치김밥,㈜한국데리카후레쉬,2017,가공식품,즉석식품류,P15571,식약처(가공식품)NFPF,100g,153.91,4.88,3.65,25.39,0,507.38,2.01,-,0
14757,단호박&호두 지짐만두,롯데푸드,2017,가공식품,즉석식품류,P15572,식약처(가공식품)NFPF,150g,450,18,18,54,11.25,697.5,22.5,-,0
14758,대림선 삼채물만두,㈜사조대림,2017,가공식품,즉석식품류,P15574,식약처(가공식품)NFPF,150g,367.5,21,12,43.5,4.37,840,0,-,0
14759,대림선 생돼지고기 포자찐만두,㈜사조대림,2017,가공식품,즉석식품류,P15575,식약처(가공식품)NFPF,150g,442.5,16.5,21,45,7.5,1185,127.5,-,0
14760,더욱 맛있어진 백설 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15576,식약처(가공식품)NFPF,150g,427.5,14.62,20.25,47.25,2.84,697.5,22.5,-,0
14761,더욱 맛있어진 백설잡채 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15577,식약처(가공식품)NFPF,150g,270,9,12,33,2.84,570,7.5,-,0
14762,데리야끼치킨 삼각김밥,㈜신세계푸드,2017,가공식품,즉석식품류,P15578,식약처(가공식품)NFPF,150g,337.5,11.25,5.85,60.75,4.5,675,11.25,-,0
14763,돈까스 에그샌드위치,㈜신세계푸드,2017,가공식품,즉석식품류,P15579,식약처(가공식품)NFPF,100g,250.74,9.55,11.73,26.75,0.27,411.55,11.35,-,0
14764,두루두루 만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15580,식약처(가공식품)NFPF,150g,442.5,19.5,12,64.5,4.5,1020,15,-,0
14765,둘둘말이김밥,롯데제과,2017,가공식품,즉석식품류,P15581,식약처(가공식품)NFPF,267g,347.1,10.68,10.68,53.4,55.27,293.7,13.35,-,0
14766,들뿍 참치김치,롯데푸드,2017,가공식품,즉석식품류,P15582,식약처(가공식품)NFPF,100g,162.9,4.02,2.56,30.94,0.3,184.04,1.71,-,0
14767,듬뿍 고추장불고기,롯데푸드,2017,가공식품,즉석식품류,P15583,식약처(가공식품)NFPF,100g,184.6,4.18,3.75,33.54,9.87,213.34,2.13,-,0
14768,듬뿍 넣은 햄샌드,롯데제과,2017,가공식품,즉석식품류,P15584,식약처(가공식품)NFPF,150g,233.23,10.98,9.6,24.69,8.72,452.74,41.16,-,0
14769,듬뿍 매콤닭갈비,롯데푸드,2017,가공식품,즉석식품류,P15585,식약처(가공식품)NFPF,100g,169.13,4.27,2.22,33.01,0.81,218.12,2.86,-,0
14770,듬뿍 소고기고추장,롯데푸드,2017,가공식품,즉석식품류,P15586,식약처(가공식품)NFPF,100g,179.21,4.2,2.28,35.46,1.47,312.66,1.61,-,0.01
14771,듬뿍 숯불갈비맛,롯데푸드,2017,가공식품,즉석식품류,P15587,식약처(가공식품)NFPF,100g,169.47,4.21,2.3,32.99,9.87,222.14,1.82,-,0.01
14772,등심 돈까스 버거,조이푸드,2017,가공식품,즉석식품류,P15589,식약처(가공식품)NFPF,150g,615.88,22.1,22.32,81.64,12.99,1081.1,20.21,-,0
14773,등심&고추잡채 롤만두,롯데푸드,2017,가공식품,즉석식품류,P15590,식약처(가공식품)NFPF,150g,405,15.75,11.25,60.75,6.75,1260,22.5,-,0
14774,등심&새우 롤만두,롯데푸드,2017,가공식품,즉석식품류,P15591,식약처(가공식품)NFPF,150g,427.5,15.75,18,54,13.5,720,22.5,-,0
14775,맛있는 김치 참치 덮밥,오뚜기,2017,가공식품,즉석식품류,P15595,식약처(가공식품)NFPF,340g,1445,61.2,20.4,255,17,3536,51,-,0
14776,맛있는 김치찌개,오뚜기,2017,가공식품,즉석식품류,P15596,식약처(가공식품)NFPF,250g,300,22.5,15,20,7.5,2750,37.5,-,0
14777,맛있는 오뚜기밥 해물리조또,오뚜기,2017,가공식품,즉석식품류,P15597,식약처(가공식품)NFPF,300g,960,36,7.5,189,9.87,3270,105,-,0
14778,맛있는 청국장찌개,오뚜기,2017,가공식품,즉석식품류,P15598,식약처(가공식품)NFPF,250g,300,27.5,0,47.5,5,2925,0,0,0
14779,매콤달콤 불고기 버거,조이푸드,2017,가공식품,즉석식품류,P15599,식약처(가공식품)NFPF,150g,509.32,16.27,17.98,70.62,13.03,1514.07,28.31,-,0
14780,매콤달콤 케이준치킨 샌드위치,롯데푸드,2017,가공식품,즉석식품류,P15600,식약처(가공식품)NFPF,150g,489.17,21.39,17.04,62.56,6.35,906.56,15.52,-,0
14781,매콤담백한 라조기,오뚜기,2017,가공식품,즉석식품류,P15601,식약처(가공식품)NFPF,180g,468,37.8,18,37.8,5.4,1746,90,-,0
14782,매콤 참치김밥,㈜신세계푸드,2017,가공식품,즉석식품류,P15602,식약처(가공식품)NFPF,100g,144.05,4.75,2.48,25.68,0,290.33,8.09,-,0
14783,매콤 참치삼각김밥,㈜신세계푸드,2017,가공식품,즉석식품류,P15603,식약처(가공식품)NFPF,100g,154.06,4.14,1.48,31.05,0.92,266.43,1.48,-,0
14784,모닝하임 고기 찐만두,새아침,2017,가공식품,즉석식품류,P15604,식약처(가공식품)NFPF,150g,438.75,16.88,20.25,47.25,5.66,753.75,11.25,-,0
14785,모닝하임 김치 찐만두,새아침,2017,가공식품,즉석식품류,P15605,식약처(가공식품)NFPF,150g,315,16.88,9,41.62,5.62,753.75,5.62,-,0
14786,미니 물만두,굿푸드,2017,가공식품,즉석식품류,P15606,식약처(가공식품)NFPF,150g,446.7,17.85,19.8,49.05,4.37,1067.5,18.3,-,0.15
14787,밀어먹는 매콤치킨,㈜한국데리카후레쉬,2017,가공식품,즉석식품류,P15607,식약처(가공식품)NFPF,100g,184.99,4.88,5.14,29.8,2.77,542.12,2.25,-,0
14788,바삭한 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15610,식약처(가공식품)NFPF,150g,292.5,9,16.5,28.5,2.84,630,0,-,0
14789,발아현미 더죽,홍진경,2017,가공식품,즉석식품류,P15611,식약처(가공식품)NFPF,280g,504,14,12.6,84,0,1764,0,-,0
14790,발아현미밥,오뚜기,2017,가공식품,즉석식품류,P15612,식약처(가공식품)NFPF,210g,305,7,2,65,0,15,0,0,0
14791,발아흑미밥,오뚜기,2017,가공식품,즉석식품류,P15613,식약처(가공식품)NFPF,210g,630,12.6,2.1,140.7,0,31.5,0,0,0
14792,배추 된장 국밥,오뚜기,2017,가공식품,즉석식품류,P15615,식약처(가공식품)NFPF,350g,875,24.5,4.9,182,10.5,3745,0,-,0
14793,백설 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15616,식약처(가공식품)NFPF,150g,420,15,19.5,46.5,2.84,705,22.5,-,0
14794,백설 김치 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15617,식약처(가공식품)NFPF,150g,465,15,24,48,2.84,945,30,-,0
14795,백설군만두 구워먹는 피자만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15618,식약처(가공식품)NFPF,150g,300,13.5,9,42,2.84,735,7.5,-,0.45
14796,백설김치만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15619,식약처(가공식품)NFPF,150g,262.5,10.5,12,28.5,3.15,585,22.5,-,0
14797,백설 김치손만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15620,식약처(가공식품)NFPF,150g,277.5,12,9,36,0.45,705,10.95,-,0
14798,백설 만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15621,식약처(가공식품)NFPF,150g,334.99,9.99,15,39.99,5.66,639.9,3.75,-,0
14799,백설물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15622,식약처(가공식품)NFPF,150g,277.5,13.5,10.5,31.5,4.37,615,15,-,0
14800,백설실속군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15624,식약처(가공식품)NFPF,150g,337.5,9,19.5,31.5,2.84,1050,12.3,-,0
14801,버터라이스 치킨마요 삼각김밥,청미,2017,가공식품,즉석식품류,P15626,식약처(가공식품)NFPF,100g,163.04,5.14,3.35,28.08,0,463.2,10.74,-,0
14802,베이컨 앤 에그 샌드위치,비에스시스템,2017,가공식품,즉석식품류,P15628,식약처(가공식품)NFPF,150g,566.62,20.6,23.26,68.72,1.6,1197.17,43.38,-,0
14803,베이컨 토마토 샌드위치,㈜신세계푸드,2017,가공식품,즉석식품류,P15629,식약처(가공식품)NFPF,150g,476.45,18,16.82,63.27,0.65,1073.4,20.26,-,0
14804,복주머니 딤섬,CJ제일제당㈜,2017,가공식품,즉석식품류,P15630,식약처(가공식품)NFPF,150g,315,12,13.5,34.5,5.66,540,15,-,0
14805,부드러운 햄버그 스테이크,오뚜기,2017,가공식품,즉석식품류,P15631,식약처(가공식품)NFPF,150g,268.75,22.5,7.5,27.5,16.07,975,50,-,0
14806,북촌고기만두,롯데푸드,2017,가공식품,즉석식품류,P15632,식약처(가공식품)NFPF,150g,450,15.75,18,58.5,5.66,810,22.5,-,0
14807,북촌군만두,롯데푸드,2017,가공식품,즉석식품류,P15633,식약처(가공식품)NFPF,150g,517.5,15.75,22.5,63,2.84,1282.5,22.5,-,0
14808,북촌물만두,롯데푸드,2017,가공식품,즉석식품류,P15634,식약처(가공식품)NFPF,150g,393.75,22.5,13.5,47.25,4.37,967.5,33.75,-,0
14809,북촌왕만두 매운갈비,롯데푸드,2017,가공식품,즉석식품류,P15635,식약처(가공식품)NFPF,150g,371.25,20.25,11.25,51.75,4.5,720,22.5,-,0
14810,북촌왕만두,롯데푸드,2017,가공식품,즉석식품류,P15636,식약처(가공식품)NFPF,150g,371.25,20.25,13.5,45,6.75,922.5,33.75,-,0
14811,불고기김밥,롯데제과,2017,가공식품,즉석식품류,P15637,식약처(가공식품)NFPF,200g,270,12,4.4,50,39.49,1460,2,-,0
14812,불고기버거,롯데제과,2017,가공식품,즉석식품류,P15639,식약처(가공식품)NFPF,150g,350.73,13.28,17.64,33.74,13.03,504.53,27.28,-,0.19
14813,불닭만두,롯데푸드,2017,가공식품,즉석식품류,P15640,식약처(가공식품)NFPF,150g,499.22,15.47,25.31,19.69,7.03,1139,18.14,-,0
14814,비비고 왕만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15641,식약처(가공식품)NFPF,150g,405,20.92,19.58,36,0.9,1140,24.08,-,0
14815,빅불고기 버거,조이푸드,2017,가공식품,즉석식품류,P15642,식약처(가공식품)NFPF,150g,541.08,20.14,14.49,82.53,13.03,1224.7,41.82,-,0
14816,빠오즈,CJ제일제당㈜,2017,가공식품,즉석식품류,P15643,식약처(가공식품)NFPF,150g,405,12,10.95,64.5,6.75,495,7.5,-,0
14817,사천왕만두,㈜이마트,2017,가공식품,즉석식품류,P15644,식약처(가공식품)NFPF,150g,474.11,14.46,14.46,69.11,9.64,642.86,16.07,-,0
14818,상하이 샤오롱,CJ제일제당㈜,2017,가공식품,즉석식품류,P15645,식약처(가공식품)NFPF,168g,512.4,15.12,25.2,55.44,8.47,1041.6,33.6,-,0
14819,생가득 생고기와 야채로 속을 꽉채운 부추잡채 군만두,풀무원,2017,가공식품,즉석식품류,P15649,식약처(가공식품)NFPF,150g,397.5,16.5,13.5,54,2.84,540,15,-,0
14820,생가득 생고기와 야채로 큼직하게 빚은 평양왕만두,풀무원,2017,가공식품,즉석식품류,P15650,식약처(가공식품)NFPF,150g,345,18,10.5,46.5,5.66,630,15,-,0
14821,생가득 야채가득 물만두,풀무원,2017,가공식품,즉석식품류,P15651,식약처(가공식품)NFPF,150g,457.5,21,21,48,4.37,765,30,-,0
14822,생가득 저온숙성 포기김치로 큼직하게 빚은 김치왕만두,풀무원,2017,가공식품,즉석식품류,P15652,식약처(가공식품)NFPF,150g,375,16.5,15,45,10.5,675,15,-,0
14823,생생 알짜만두,진주햄,2017,가공식품,즉석식품류,P15653,식약처(가공식품)NFPF,150g,551.25,18,22.5,69.75,9.68,933.75,11.25,-,0
14824,생야채와 물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15654,식약처(가공식품)NFPF,150g,397.58,14.4,19.58,41.85,4.37,1080,24.08,-,0
14825,샤오롱빠오,CJ제일제당㈜,2017,가공식품,즉석식품류,P15655,식약처(가공식품)NFPF,168g,369.6,16.8,18.48,31.92,8.47,512.4,33.6,-,0
14826,선지해장국,초원식품,2017,가공식품,즉석식품류,P15656,식약처(가공식품)NFPF,600g,1302,144,78,6,0,15036,366,-,0
14827,소고기만두 규아상,CJ제일제당㈜,2017,가공식품,즉석식품류,P15657,식약처(가공식품)NFPF,150g,247.5,12,10.5,25.5,5.66,360,15,-,0
14828,속찬 왕만두,한성기업,2017,가공식품,즉석식품류,P15658,식약처(가공식품)NFPF,150g,345.54,12.86,16.07,36.96,1.61,803.57,16.07,-,0
14829,손맛살린 만찬왕만두,대상㈜,2017,가공식품,즉석식품류,P15659,식약처(가공식품)NFPF,150g,385.71,17.68,19.29,35.36,5.66,642.86,16.07,-,0
14830,쇠고기 미역 국밥,오뚜기,2017,가공식품,즉석식품류,P15660,식약처(가공식품)NFPF,350g,892.5,35,6.65,171.5,0,2870,35,-,0
14831,수제잎 새만두,대해물류,2017,가공식품,즉석식품류,P15661,식약처(가공식품)NFPF,150g,405,11.25,20.25,45,6.75,562.5,9,-,0
14832,숯불 떡갈비,대상㈜,2017,가공식품,즉석식품류,P15662,식약처(가공식품)NFPF,200g,692,30,44,44,12.5,1680,70,-,0
14833,쉐프솔루션 교자만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15663,식약처(가공식품)NFPF,150g,331.39,10.59,13.99,40.77,5.66,552.15,13.5,-,0.1
14834,쉐프솔루션 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15664,식약처(가공식품)NFPF,150g,331.59,12.18,13.77,39.74,2.84,658.65,6.57,-,0.12
14835,쉬림프 에그샌드위치,롯데푸드,2017,가공식품,즉석식품류,P15665,식약처(가공식품)NFPF,150g,419.76,18.75,18.36,44.87,7.49,869.58,93.78,-,0.15
14836,스노우밸리 속부터 다른 한돈 순물만두,오뚜기,2017,가공식품,즉석식품류,P15666,식약처(가공식품)NFPF,150g,422.93,20.3,20.3,38.91,4.37,676.69,40.6,-,0
14837,스노우밸리 쫄깃함이 살아있는 감자떡 김치만두,오뚜기,2017,가공식품,즉석식품류,P15667,식약처(가공식품)NFPF,150g,427.5,12,16.5,57,7.5,585,7.35,-,0
14838,스파게티,롯데푸드,2013,가공식품,즉석식품류,P15668,식약처(가공식품)NFPF,100g,354.62,11.2,0.18,77.06,3.29,0,0,-,0
14839,식후 혈당 조절에 도움을 줄 수 있는 밥,CJ제일제당㈜,2017,가공식품,즉석식품류,P15669,식약처(가공식품)NFPF,100g,145.2,2.9,0.2,32.9,0,7.1,0,-,0
14840,신화왕만두,세린식품,2017,가공식품,즉석식품류,P15670,식약처(가공식품)NFPF,150g,468.75,15,9.38,78.75,7.5,712.5,9.38,-,0.08
14841,실속고추장 불고기 김밥,청탑,2017,가공식품,즉석식품류,P15671,식약처(가공식품)NFPF,100g,142.14,3.91,1.97,27.2,9.87,323.06,2.97,-,0
14842,씨제이 백설 쌀군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15672,식약처(가공식품)NFPF,150g,360,13.5,13.5,49.5,2.84,652.5,22.5,-,0
14843,씨제이 우리밀만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15673,식약처(가공식품)NFPF,150g,315,12.9,12,39,5.66,495,5.1,-,0
14844,씨제이 프레시안 백설 김치군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15674,식약처(가공식품)NFPF,150g,330,10.95,18,31.5,2.84,570,10.8,-,0
14845,씨제이 프레시안 백설 잡채군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15675,식약처(가공식품)NFPF,150g,262.5,7.5,10.5,36,2.84,570,15,-,0
14846,CJ 프레시안 생야채와 돼지고기 물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15676,식약처(가공식품)NFPF,150g,255,9.6,12,27,4.37,720,16.5,-,0
14847,CJ 프레시안 생야채와돼지고기 손만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15677,식약처(가공식품)NFPF,150g,495,16.65,18,65.25,5.66,900,26.1,-,0.68
14848,CJ 프레시안 생야채와돼지고기 왕만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15678,식약처(가공식품)NFPF,150g,247.5,10.5,10.5,28.5,5.66,585,2.85,-,0
14849,CJ 프레시안 우리손만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15679,식약처(가공식품)NFPF,150g,285,12,13.5,30,5.66,465,13.5,-,0
14850,아리랑토리랑 팥죽,토리식품,2017,가공식품,즉석식품류,P15680,식약처(가공식품)NFPF,235g,491.15,14.1,1.17,105.75,16.45,603.95,0,0,0
14851,아워홈 단호박죽,아워홈,2017,가공식품,즉석식품류,P15681,식약처(가공식품)NFPF,270g,567,8.1,18.9,89.1,32.4,810,0,-,0
14852,아워홈 전복죽,아워홈,2017,가공식품,즉석식품류,P15682,식약처(가공식품)NFPF,270g,364.5,13.5,9.45,54,1.98,1431,54,0,0
14853,아워홈 통단팥죽,아워홈,2017,가공식품,즉석식품류,P15683,식약처(가공식품)NFPF,270g,648,21.6,6.48,124.2,32.4,1134,0,-,0
14854,양념갈비맛 삼각김밥,㈜신세계푸드,2017,가공식품,즉석식품류,P15684,식약처(가공식품)NFPF,100g,150.46,4.3,1.73,29.42,9.87,237.27,1.43,-,0
14855,양반 가평잣죽,동원,2017,가공식품,즉석식품류,P15685,식약처(가공식품)NFPF,286g,486.2,8.58,17.16,74.36,0,1258.4,0,-,0
14856,양반 꿀호박죽,동원,2017,가공식품,즉석식품류,P15686,식약처(가공식품)NFPF,285g,698.25,11.4,0,162.45,68.4,769.5,0,0,0
14857,양반 밤 단팥죽,동원,2017,가공식품,즉석식품류,P15687,식약처(가공식품)NFPF,285g,840.75,19.95,0,190.95,65.55,1596,0,0,0
14858,양반 삼계죽,동원,2017,가공식품,즉석식품류,P15688,식약처(가공식품)NFPF,285g,498.75,28.5,1.71,94.05,5.7,1482,42.75,0,0
14859,양반 참치죽,동원,2017,가공식품,즉석식품류,P15689,식약처(가공식품)NFPF,288g,504,23.04,6.34,89.28,5.76,1526.4,28.8,0,0
14860,양반 한우 쇠고기 큰죽,동원,2017,가공식품,즉석식품류,P15690,식약처(가공식품)NFPF,402g,984.9,36.18,10.05,188.94,107.74,2050.2,60.3,0,0
14861,양송이스프 60g,대상㈜,2017,가공식품,즉석식품류,P15691,식약처(가공식품)NFPF,100g,383.9,6.3,5.5,77.3,31.4,1777.3,9.8,-,0.24
14862,엔네이처 단호박&호두 지짐만두,롯데푸드,2017,가공식품,즉석식품류,P15692,식약처(가공식품)NFPF,150g,450,16.88,18.28,54.84,12.66,703.12,21.09,-,0
14863,옛날 손만두,천일식품,2017,가공식품,즉석식품류,P15693,식약처(가공식품)NFPF,150g,505.5,13.5,25.5,55.5,5.66,852.75,15,-,0.41
14864,옛날육개장,오뚜기,2017,가공식품,즉석식품류,P15694,식약처(가공식품)NFPF,100g,19.7,1.53,0.71,1.79,1.38,397,0.61,-,0.01
14865,오므라이스 미트볼,오뚜기,2017,가공식품,즉석식품류,P15695,식약처(가공식품)NFPF,180g,423,16.2,18,48.6,23.4,1854,36,-,0
14866,오므라이스 햄버그,오뚜기,2017,가공식품,즉석식품류,P15696,식약처(가공식품)NFPF,200g,480,16,22,54,28.57,2020,30,-,0
14867,오삼 불고기 덮밥,오뚜기,2017,가공식품,즉석식품류,P15697,식약처(가공식품)NFPF,340g,1479,40.8,30.6,261.8,23.8,3060,119,-,0
14868,오이물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15698,식약처(가공식품)NFPF,150g,416.25,17.55,20.25,40.5,4.37,855,29.25,-,0
14869,왕빠오즈,CJ제일제당㈜,2017,가공식품,즉석식품류,P15699,식약처(가공식품)NFPF,150g,472.5,13.95,15.75,69.75,6.75,652.5,11.25,-,0
14870,우리밀 김치왕만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15701,식약처(가공식품)NFPF,150g,232.5,13.5,7.5,28.5,0.15,450,18,-,0
14871,우리밀 만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15702,식약처(가공식품)NFPF,150g,435,16.5,18,52.5,0,705,22.5,-,0
14872,우리밀 물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15703,식약처(가공식품)NFPF,150g,427.5,15.75,18,51.75,4.37,990,22.5,-,0
14873,우리밀 왕교자,CJ제일제당㈜,2017,가공식품,즉석식품류,P15704,식약처(가공식품)NFPF,150g,450,18,21,48,5.66,735,22.5,-,0
14874,우리밀 왕만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15705,식약처(가공식품)NFPF,150g,255,10.5,13.5,25.5,5.66,540,15,-,0
14875,우리쌀 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15706,식약처(가공식품)NFPF,150g,360,13.5,12,49.5,2.84,645,22.5,-,0
14876,우리쌀 물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15707,식약처(가공식품)NFPF,150g,277.5,11.55,12,30,4.37,600,18,-,0
14877,월병군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15709,식약처(가공식품)NFPF,150g,352.5,9,19.5,34.5,2.84,720,22.5,-,0
14878,이슬먹은 렌지만두 매운맛,해태제과,2017,가공식품,즉석식품류,P15711,식약처(가공식품)NFPF,150g,500,16.25,31.25,38.75,10,887.5,31.25,-,0
14879,이츠웰 바삭한 군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15712,식약처(가공식품)NFPF,150g,317.95,9.81,15.68,34.41,2.84,664.05,14.52,-,0.08
14880,이츠웰 실속 교자만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15713,식약처(가공식품)NFPF,150g,263.49,11.32,5.73,41.65,5.66,655.05,4.09,-,0.03
14881,이츠웰 실속 물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15714,식약처(가공식품)NFPF,150g,285,13.5,12,31.5,4.37,540,22.5,-,0
14882,이츠웰 씨제이 왕만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15715,식약처(가공식품)NFPF,150g,289.29,14.94,13.47,27.08,5.66,618,15.98,-,0.12
14883,이츠웰쫄깃한물만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15716,식약처(가공식품)NFPF,150g,300,12,13.5,34.5,4.37,780,22.5,-,0
14884,자연듬뿍 엔네이쳐 등심&새우 롤만두,롯데푸드,2017,가공식품,즉석식품류,P15717,식약처(가공식품)NFPF,150g,427.5,15,16.5,54,13.5,735,22.5,-,0
14885,자이언트 버거 오리지날,조이푸드,2017,가공식품,즉석식품류,P15718,식약처(가공식품)NFPF,150g,555.76,20.89,24.29,63.4,12.99,1139.3,52.42,-,0
14886,잡채 만두,오뚜기,2017,가공식품,즉석식품류,P15719,식약처(가공식품)NFPF,150g,465.52,15.52,23.28,48.1,8.04,744.83,17.07,-,0
14887,잡채군만두,CJ제일제당㈜,2017,가공식품,즉석식품류,P15720,식약처(가공식품)NFPF,150g,262.5,7.5,9,39,2.84,525,7.5,-,0
14888,전자렌지용 찐만두,엄지식품,2017,가공식품,즉석식품류,P15722,식약처(가공식품)NFPF,150g,421.88,20.09,18.75,42.86,2.68,589.29,13.39,-,0
14889,정갈하고 깔끔한 일품만두,동원,2017,가공식품,즉석식품류,P15723,식약처(가공식품)NFPF,150g,493.06,19.44,16.67,66.67,2.7,583.33,27.78,-,0
14890,쫄깃한크랩맛샌드위치,롯데푸드,2017,가공식품,즉석식품류,P15725,식약처(가공식품)NFPF,100g,172.04,6.68,5.9,23.05,0.82,320.44,5.16,-,0
14891,참치김치말이 김밥,롯데제과,2017,가공식품,즉석식품류,P15727,식약처(가공식품)NFPF,200g,241.7,5.9,4.3,45.4,1.44,654.04,3.8,-,0.02
14892,참치김치 삼각김밥,비에스시스템,2017,가공식품,즉석식품류,P15728,식약처(가공식품)NFPF,100g,158.11,3.66,2.27,30.75,0.26,258.83,1.06,-,0
14893,참치마요네즈 삼각김밥,비에스시스템,2017,가공식품,즉석식품류,P15729,식약처(가공식품)NFPF,100g,173.62,3.66,4.64,29.29,9.87,304.89,1.7,-,0
14894,철판 군만두,굿푸드,2017,가공식품,즉석식품류,P15730,식약처(가공식품)NFPF,150g,456,15.6,14.85,64.95,2.84,636,9.75,-,0
14895,청정원 감자수제비 물만두,대상㈜,2017,가공식품,즉석식품류,P15732,식약처(가공식품)NFPF,150g,437.5,22.22,18.06,45.83,4.37,583.33,13.89,-,0
14896,청정원 떡&군만두,대상㈜,2017,가공식품,즉석식품류,P15734,식약처(가공식품)NFPF,150g,461.25,11.25,15.75,69.75,2.84,652.5,11.25,-,0
